seed,arm,lambda_group,input_index,frames,K,boundary_abs_change,interior_abs_change,finite,domain,candidate_consistency_max_error
1,MAM,,23,1051,10,0.1135985404253006,0.022646557539701462,True,True,1.9073486328125e-06
1,MAM,,24,990,10,0.18427591025829315,0.02163219265639782,True,True,1.3113021850585938e-06
1,MAM,,25,984,10,0.16731777787208557,0.020773572847247124,True,True,2.2649765014648438e-06
1,MAM,,26,1413,10,0.10492122918367386,0.02031322568655014,True,True,1.9669532775878906e-06
1,MAM,,27,1256,10,0.17323178052902222,0.018785083666443825,True,True,1.8477439880371094e-06
1,MAM,,28,473,10,,0.024164220318198204,True,True,0.0
1,MAM,,29,476,10,,0.018850065767765045,True,True,0.0
1,MAM,,30,1232,10,0.33239486813545227,0.02089744247496128,True,True,1.1324882507324219e-06
1,MAM,,31,870,10,0.14974436163902283,0.021924830973148346,True,True,2.115964889526367e-06
1,MAM,,32,514,10,,0.0218131635338068,True,True,0.0
1,MAM,,33,389,10,,0.03609546273946762,True,True,0.0
1,MAM,,34,1233,10,0.2830628752708435,0.018491927534341812,True,True,1.0728836059570312e-06
1,MAM,,35,689,10,,0.020854024216532707,True,True,0.0
1,MAM,,36,415,10,,0.02829052321612835,True,True,0.0
1,MAM,,37,600,10,,0.021021373569965363,True,True,0.0
1,MAM,,38,543,10,,0.02132348343729973,True,True,0.0
1,MAM,,39,516,10,,0.023644208908081055,True,True,0.0
1,MAM,,40,271,10,,0.0316796749830246,True,True,0.0
1,MAM,,41,511,10,,0.01920776255428791,True,True,0.0
1,MAM,,42,1350,10,0.17179445922374725,0.022092735394835472,True,True,1.9073486328125e-06
1,MAM,,43,1056,10,0.15039676427841187,0.016876637935638428,True,True,1.341104507446289e-06
1,MAM,,44,2403,10,0.19512556493282318,0.018352828919887543,True,True,1.341104507446289e-06
1,MAM,,45,2251,10,0.1548701524734497,0.024275144562125206,True,True,1.817941665649414e-06
1,MAM,,46,3687,10,0.2712123990058899,0.01944105140864849,True,True,1.2814998626708984e-06
1,MAM,,47,1800,10,0.14061042666435242,0.02096746675670147,True,True,1.3113021850585938e-06
1,MAM,,48,935,10,0.37387871742248535,0.018578162416815758,True,True,1.2814998626708984e-06
1,MAM,,49,1234,10,0.2501998543739319,0.021252315491437912,True,True,1.1920928955078125e-06
1,MAM,,50,1231,10,0.08046458661556244,0.017102017998695374,True,True,1.1622905731201172e-06
1,MAM,,51,1134,10,0.20894290506839752,0.01790412701666355,True,True,1.2516975402832031e-06
1,MAM,,52,5696,10,0.21037590503692627,0.016127554699778557,True,True,1.1324882507324219e-06
1,MAM,,53,5943,10,0.19386181235313416,0.017052123323082924,True,True,1.1920928955078125e-06
1,MAM,,54,3480,10,0.1588841825723648,0.015961099416017532,True,True,1.1622905731201172e-06
1,MAM,,55,3505,10,0.21061892807483673,0.01632465235888958,True,True,1.2516975402832031e-06
1,MAM,,56,989,10,0.29702335596084595,0.02107878588140011,True,True,1.6689300537109375e-06
1,MAM,,57,1015,10,0.07951435446739197,0.021246016025543213,True,True,1.5497207641601562e-06
1,MAM,,58,1198,10,0.3766949474811554,0.01894182339310646,True,True,1.430511474609375e-06
1,MAM,,59,929,10,0.12838785350322723,0.02342548966407776,True,True,1.2516975402832031e-06
1,MAM,,60,1892,10,0.17367476224899292,0.01765602082014084,True,True,1.1622905731201172e-06
1,MAM,,61,3455,10,0.19852563738822937,0.015782112255692482,True,True,1.5497207641601562e-06
1,MAM,,62,3334,10,0.26096469163894653,0.01040144357830286,True,True,1.5497207641601562e-06
1,MAM,,63,3599,10,0.14168822765350342,0.015956241637468338,True,True,1.6093254089355469e-06
1,MAM,,64,2610,10,0.2712289094924927,0.020351950079202652,True,True,1.7583370208740234e-06
1,MAM,,65,1685,10,0.2141546607017517,0.022154387086629868,True,True,1.519918441772461e-06
1,MAM,,66,2613,10,0.19087861478328705,0.01979043148458004,True,True,1.043081283569336e-06
1,MAM,,67,1709,10,0.14678911864757538,0.021521633490920067,True,True,9.5367431640625e-07
1,MAM,,68,4558,10,0.36827290058135986,0.013510606251657009,True,True,1.6689300537109375e-06
1,MAM,,69,4473,10,0.2526188790798187,0.013244034722447395,True,True,1.8477439880371094e-06
1,MAM,,70,3729,10,0.23592200875282288,0.013600486330688,True,True,1.3709068298339844e-06
1,MAM,,71,4561,10,0.3161667585372925,0.016292503103613853,True,True,1.9073486328125e-06
1,MAM,,72,3416,10,0.2622162401676178,0.017975423485040665,True,True,1.430511474609375e-06
1,MAM,,73,3596,10,0.24523508548736572,0.016444692388176918,True,True,1.4901161193847656e-06
1,MAM,,74,5279,10,0.23556335270404816,0.01535417977720499,True,True,1.2516975402832031e-06
1,MAM,,75,5456,10,0.1775246262550354,0.017197903245687485,True,True,1.519918441772461e-06
1,MAM,,76,3209,10,0.17423410713672638,0.019015101715922356,True,True,1.2516975402832031e-06
1,MAM,,77,2183,10,0.18870414793491364,0.01876186951994896,True,True,1.3113021850585938e-06
1,MAM,,78,6781,10,0.21634657680988312,0.014813985675573349,True,True,1.3709068298339844e-06
1,MAM,,79,1654,10,0.1799444854259491,0.020532824099063873,True,True,1.3113021850585938e-06
123,C0,0,0,1926,10,0.06331907212734222,0.010557486675679684,True,True,2.5480985641479492e-06
123,C0,0,1,1167,10,0.11481280624866486,0.016089286655187607,True,True,2.115964889526367e-06
