arm,step,source,group,weight,total,DC,slow,fast
B0-fixed,500,12,expression,0.32,0.07997883527088631,0.03747477698561526,0.030972082777692537,0.01153197550757851
B0-fixed,500,13,AU,0.6,0.09384985386427801,0.0435507419383369,0.031819258616750584,0.01847985330919052
B0-fixed,500,13,VA,0.08,0.02953293510886471,0.01800523193912888,0.007855703479797397,0.003671999689938438
B0-fixed,500,13,expression,0.32,0.06557330852030557,0.036717456755295426,0.02022858306075883,0.00862726870425132
B0-fixed,500,14,AU,0.6,0.07560193221961961,0.024065414160220913,0.034274008642438666,0.01726250941696002
B0-fixed,500,14,VA,0.08,0.021993397060170162,0.009539870818306742,0.009144276038258929,0.0033092502036044854
B0-fixed,500,14,expression,0.32,0.029048941180834457,0.006359027708676432,0.017527586224238344,0.005162327247919682
B0-fixed,500,15,AU,0.6,0.10936174508776848,0.03883993199160236,0.05581055128825934,0.014711261807906795
B0-fixed,500,15,VA,0.08,0.029108675828234027,0.012014747841256472,0.014255181527657902,0.0028387464593196536
B0-fixed,500,15,expression,0.32,0.10609706426277624,0.06535741620414133,0.03414321114644806,0.006596436912186866
B0-fixed,500,16,AU,0.6,0.1037762923938524,0.0332546626191467,0.05483186134246191,0.01568976843224379
B0-fixed,500,16,VA,0.08,0.027557137633443834,0.011299347625644288,0.013598115770986359,0.002659674236813191
B0-fixed,500,16,expression,0.32,0.06850444487024954,0.030405065940603423,0.03295801545071419,0.005141363478931895
B0-fixed,500,17,AU,0.6,0.08653186172373036,0.03146818952984293,0.034476539258308285,0.02058713293557914
B0-fixed,500,17,VA,0.08,0.023780212524197156,0.010035783312443385,0.00968356697761892,0.00406086223413485
B0-fixed,500,17,expression,0.32,0.06332886309975416,0.024408191449107185,0.026297058511862533,0.012623613138784446
B0-fixed,500,18,AU,0.6,0.07876342415320543,0.023334873596413886,0.042105681093916936,0.013322869462874618
B0-fixed,500,18,VA,0.08,0.02562108252428274,0.014017199041485687,0.00875287478099209,0.0028510087018049643
B0-fixed,500,18,expression,0.32,0.05427907227129151,0.019816302682293712,0.027044128316348497,0.007418641272649308
B0-fixed,500,19,AU,0.6,0.08135242405660341,0.021788332032638927,0.04290929377319648,0.016654798250768002
B0-fixed,500,19,VA,0.08,0.025989195865311177,0.014491216248202073,0.008686814177477957,0.0028111654396311466
B0-fixed,500,19,expression,0.32,0.042499311161710254,0.01429779842695634,0.02178600103206432,0.006415511702689604
B0-fixed,500,20,AU,0.6,0.0938938264297508,0.021476097855132385,0.05719050750883198,0.015227221065786428
B0-fixed,500,20,VA,0.08,0.028125107898427086,0.013266631798350758,0.012077781320020308,0.002780694780056018
B0-fixed,500,20,expression,0.32,0.05132924022660492,0.01360566577945693,0.03122586034876859,0.006497714098379406
B0-fixed,500,21,AU,0.6,0.11464601645312912,0.028696179129411428,0.067902366084223,0.018047471239494683
B0-fixed,500,21,VA,0.08,0.031564174498231595,0.009654624214097315,0.01893917433458337,0.002970375949550908
B0-fixed,500,21,expression,0.32,0.08186944299847677,0.04023226504622194,0.03602230329044912,0.005614874661805722
B0-fixed,500,22,AU,0.6,0.09102823233117552,0.025349707870315243,0.04786192721335854,0.01781659724750175
B0-fixed,500,22,VA,0.08,0.029970071504131137,0.015809352650502127,0.011611430049657322,0.0025492888039716868
B0-fixed,500,22,expression,0.32,0.07854176329368369,0.03912029450606404,0.03209656514166029,0.007324903645959356
B0-fixed,500,23,AU,0.6,0.09497892512075409,0.027374457621985888,0.053854355415227664,0.013750112083540551
B0-fixed,500,23,VA,0.08,0.022702855928639225,0.009556709659281305,0.010728247179933438,0.0024178990894244746
B0-fixed,500,23,expression,0.32,0.047346580502026954,0.012077645198569777,0.02862129940170669,0.006647635901750501
B0-fixed,500,24,AU,0.6,0.11297441860668576,0.035056926432805384,0.06007409203998956,0.017843400133890817
B0-fixed,500,24,VA,0.08,0.02839742549846083,0.010924005063366262,0.014195802572049358,0.0032776178630452104
B0-fixed,500,24,expression,0.32,0.07114415485930085,0.028467346605623396,0.03587288403100808,0.006803924222669371
B0-fixed,500,25,AU,0.6,0.1280679741745391,0.03857056933654381,0.07133940558259796,0.018157999255397312
B0-fixed,500,25,VA,0.08,0.02398739604649467,0.007150216964617026,0.013622415131467032,0.003214763950410611
B0-fixed,500,25,expression,0.32,0.0891347767737799,0.043503079820590235,0.03801866112934612,0.007613035823843571
B0-fixed,500,26,AU,0.6,0.12534389650886474,0.042178891136528306,0.067205727783896,0.015959277588440433
B0-fixed,500,26,VA,0.08,0.03124539349339332,0.013928791856878594,0.014431124972266575,0.0028854766642481596
B0-fixed,500,26,expression,0.32,0.08802156929746008,0.044084233303736196,0.036987721581162605,0.006949614412561273
B0-fixed,500,27,AU,0.6,0.08380200917160807,0.021786193805560242,0.050885580734562535,0.011130234631485282
B0-fixed,500,27,VA,0.08,0.021954409366057456,0.006433497466213508,0.013109373317845056,0.002411538581998893
B0-fixed,500,27,expression,0.32,0.06859961778240152,0.031300366965730624,0.031368197134602954,0.005931053682067928
B0-fixed,500,28,AU,0.6,0.14380681177658794,0.0489811622361999,0.0759394183780449,0.018886231162343153
B0-fixed,500,28,VA,0.08,0.0254103913843263,0.007158947367956316,0.015198678440509086,0.0030527655758609
B0-fixed,500,28,expression,0.32,0.06783401111510728,0.022022086173087846,0.03987937971555313,0.0059325452264663
B0-fixed,500,29,AU,0.6,0.09279170318702011,0.036924660876072976,0.046921202052353346,0.008945840258593796
B0-fixed,500,29,VA,0.08,0.01749381893962102,0.00662515320078595,0.008974032514785303,0.0018946332240497678
B0-fixed,500,29,expression,0.32,0.03845186769587199,0.015101834941207868,0.019278957285633086,0.004071075469031037
B0-fixed,500,30,AU,0.6,0.09039296223137959,0.042167027809076475,0.037241197806360066,0.010984736615943042
B0-fixed,500,30,VA,0.08,0.020887674220600214,0.010365099194119654,0.008601651290956547,0.0019209237355240145
B0-fixed,500,30,expression,0.32,0.050030184563693084,0.01819267005673954,0.02636650435424399,0.005471010152709569
B0-fixed,500,31,AU,0.6,0.1070897678731526,0.026248569445438644,0.06465986692681647,0.01618133150089749
B0-fixed,500,31,VA,0.08,0.0258490038120884,0.01062595228559488,0.01258210052934339,0.002640950997150129
B0-fixed,500,31,expression,0.32,0.06079286778825608,0.020927560306386418,0.033837123740890394,0.006028183740979264
B0-fixed,500,32,AU,0.6,0.1143550942726422,0.03068634047904643,0.06671573817014331,0.016953015623452458
B0-fixed,500,32,VA,0.08,0.030264582910406183,0.012063545174659681,0.015184547067581156,0.0030164906681653435
B0-fixed,500,32,expression,0.32,0.06354723891075743,0.015545294879465871,0.04039070491688983,0.007611239114401732
B0-fixed,500,33,AU,0.6,0.12248207655371429,0.036218324569721724,0.07162666418405911,0.014637087799933472
B0-fixed,500,33,VA,0.08,0.03335974535733193,0.015019213234887401,0.015449129048945102,0.0028914030734994195
B0-fixed,500,33,expression,0.32,0.0729046893007818,0.023882142178993936,0.041749907500153983,0.007272639621633856
B0-fixed,500,34,AU,0.6,0.11473438518766207,0.027549221781605713,0.06734534911648624,0.019839814289570115
B0-fixed,500,34,VA,0.08,0.0421912179722041,0.022962285401777808,0.016502062086458585,0.0027268704839677116
B0-fixed,500,34,expression,0.32,0.09959675876899876,0.054751065509111164,0.03908166322875977,0.005764030031127823
B0-fixed,500,35,AU,0.6,0.1196675304942978,0.04121399991488917,0.06508785143386306,0.013365679145545574
B0-fixed,500,35,VA,0.08,0.03523454443372534,0.017035914120304682,0.01563996771767616,0.0025586625957444917
B0-fixed,500,35,expression,0.32,0.06597565518226974,0.026770358673717753,0.03440795979906195,0.0047973367094900484
B0-fixed,500,36,AU,0.6,0.10235609087613211,0.032184536191603004,0.05555432003813532,0.014617234646393782
B0-fixed,500,36,VA,0.08,0.028374954879638644,0.012444700822398133,0.01293672815534876,0.0029935259018917487
