arm,index,session,length,covariance_RMSE,autocorr_lag1_MAE,autocorr_lag1_valid_channels,autocorr_lag10_MAE,autocorr_lag10_valid_channels,autocorr_lag30_MAE,autocorr_lag30_valid_channels
C1,65,session5,1685,0.022942901164895675,0.2292902424472361,12,0.11882447346099556,12,0.15415861584240562,12
C2,65,session5,1685,0.0219088022457216,0.3392014902434231,12,0.11803154834149134,12,0.11900364447190596,12
C0,66,session5,2613,0.023790917474954192,0.14276351333025872,14,0.17558473560160698,14,0.18179624572967784,14
C1,66,session5,2613,0.01574006647446633,0.23227596112088897,14,0.14187533162868918,14,0.16661818090006938,14
C2,66,session5,2613,0.014966670068967732,0.35354637988241006,14,0.15101787303901684,14,0.17656993244558242,14
C0,67,session5,1709,0.02397534574138392,0.21561564240920472,12,0.17345741957639235,12,0.15039115357433228,12
C1,67,session5,1709,0.015809968361523936,0.23253837716917536,12,0.08686091493431862,12,0.1403431137387089,12
C2,67,session5,1709,0.01506395039759793,0.26355484428672415,12,0.12817173327103845,12,0.2042590384256576,12
C0,68,session6,4558,0.021251865751861318,0.07917318418441154,10,0.15090417095953557,10,0.16363038874973848,10
C1,68,session6,4558,0.013646726706326587,0.18709040679119107,10,0.25391568571114487,10,0.22705572654512016,10
C2,68,session6,4558,0.009589756733283336,0.24814113200826346,10,0.24710794791655202,10,0.2281935097876076,10
C0,69,session6,4473,0.018655264578757103,0.043876075907490764,10,0.16234334392221617,10,0.2187872180196027,10
C1,69,session6,4473,0.009483031430339404,0.053553095490831724,10,0.21528615000471346,10,0.2922181992566603,10
C2,69,session6,4473,0.008024206825118878,0.0556150579693843,10,0.2548036631706668,10,0.35274769525291155,10
C0,70,session6,3729,0.01859990577058249,0.046547658508312495,10,0.15642438758034863,10,0.19806945359375558,10
C1,70,session6,3729,0.011890412622109063,0.035821070190677054,10,0.16852879572511884,10,0.22438288856094707,10
C2,70,session6,3729,0.009097465245034665,0.06917007909793099,10,0.19048319223575869,10,0.2504442995554289,10
C0,71,session6,4561,0.021386801735970316,0.05759966941154501,12,0.12223795138416403,12,0.15711090285214516,12
C1,71,session6,4561,0.010343293298555531,0.11735183515524039,12,0.22749649329697585,12,0.2629096595529332,12
C2,71,session6,4561,0.010262831489003565,0.18953099893411096,12,0.19255536351439173,12,0.21314362542790266,12
C0,72,session7,3416,0.03129265176272026,0.06587980879807281,16,0.17467382789228075,16,0.19913253691122673,16
C1,72,session7,3416,0.027344584584881797,0.15415189534079055,16,0.12171157134527681,16,0.17021034059937945,16
C2,72,session7,3416,0.02714859286935958,0.23108532437293106,16,0.10115152075200493,16,0.15683894906772772,16
C0,73,session7,3596,0.030461900219315732,0.062484345085104386,15,0.2499819369388085,15,0.3004415576644737,15
C1,73,session7,3596,0.02664691495548864,0.19871151301594042,15,0.17886213310331764,15,0.22682835069441257,15
C2,73,session7,3596,0.02637447683040198,0.3450100877016549,15,0.13276533991217174,15,0.17463680153789965,15
C0,74,session7,5279,0.02553453682647707,0.0898315615783323,16,0.19311258827013406,16,0.2478619657632675,16
C1,74,session7,5279,0.021695122458086833,0.12158597838623689,16,0.17366913850515492,16,0.23798897566638127,16
C2,74,session7,5279,0.019385485405350716,0.1849045412625012,16,0.1461316255476221,16,0.23355783665962965,16
C0,75,session7,5456,0.028886058039433386,0.07015367677206408,17,0.18926851290982172,17,0.2389497227546261,17
C1,75,session7,5456,0.024453535171207772,0.18546965866852655,17,0.14543349257738933,17,0.193410610493822,17
C2,75,session7,5456,0.02462620419054496,0.29988737201558174,17,0.11806847154595884,17,0.17004883745459123,17
C0,76,session9,3209,0.027940680242359305,0.07953406113123584,16,0.22133607975424313,16,0.2344919294548112,16
C1,76,session9,3209,0.022693003247984917,0.14169861048800703,16,0.22117608888945478,16,0.2608546718098365,16
C2,76,session9,3209,0.019822793822842258,0.2152082585538981,16,0.21213701293446913,16,0.27179175458547855,16
C0,77,session9,2183,0.028519954577705956,0.14014450991214378,15,0.1942611507204244,15,0.20890170039197967,15
C1,77,session9,2183,0.02368345331431503,0.19153782772829436,15,0.16539413574383924,15,0.21569453373502404,15
C2,77,session9,2183,0.02321408946103587,0.3596702869248901,15,0.1335705905371868,15,0.18195477483827308,15
C0,78,session9,6781,0.024115894559145527,0.06562741338870934,17,0.2058082460334016,17,0.24139661272087393,17
C1,78,session9,6781,0.019514815531673918,0.08439330958199844,17,0.19458612086683078,17,0.24914931970852394,17
C2,78,session9,6781,0.018629631428247233,0.1411556723207124,17,0.19451601673724506,17,0.2539859446788294,17
C0,79,session9,1654,0.03005163781152139,0.17232362731430595,15,0.23557532187714866,15,0.2216249633111945,15
C1,79,session9,1654,0.02354245713692558,0.21766011911449468,15,0.16540099295029342,15,0.22663152598343442,15
C2,79,session9,1654,0.02369227469337862,0.4010530058409662,15,0.09111997462333572,15,0.15885742086470803,15
