model,source,group,left_block,right_block,left_frames,right_frames,candidate_covariance,correlation,undefined_fraction
G1-shared,13,VA,0,1,750,750,0.010154516550035025,0.9597405642797301,0.0
G1-shared,13,VA,1,2,750,750,0.01045310533052488,0.9795531794482548,0.0
G1-shared,13,VA,2,3,750,750,0.010827002885508034,0.9827190701373439,0.0
G1-shared,13,VA,3,4,750,750,0.01085864113250445,0.9694877542820776,0.0
G1-shared,13,VA,4,5,750,750,0.011625897640374708,0.976653357667594,0.0
G1-shared,13,VA,5,6,750,276,0.009647019085688824,0.9229026503593301,0.0
G1-shared,13,expression,0,1,750,750,0.01762596771413231,0.8902859048109288,0.0
G1-shared,13,expression,1,2,750,750,0.019592589112842968,0.9067031872726119,0.0
G1-shared,13,expression,2,3,750,750,0.021461827041765625,0.8847120020612487,0.0
G1-shared,13,expression,3,4,750,750,0.02206853720702224,0.8446413037169929,0.0
G1-shared,13,expression,4,5,750,750,0.026623450087770235,0.9355961076421017,0.0
G1-shared,13,expression,5,6,750,276,0.024515472039143615,0.8728828339120891,0.0
T0,14,AU,0,1,750,750,0.0006708801462276654,0.02031835839045115,0.0
T0,14,AU,1,2,750,750,-0.00011229016568220026,-0.004995034422495811,0.0
T0,14,AU,2,3,750,750,-0.002290874465174693,-0.12073964022348567,0.0
T0,14,AU,3,4,750,750,0.000784742066086065,-0.084757481632268,0.0
T0,14,AU,4,5,750,660,0.0025401992443295747,0.013118130575057977,0.0
T0,14,VA,0,1,750,750,5.6336892245865554e-05,0.016765839186844128,0.0
T0,14,VA,1,2,750,750,-0.0003333091171175878,-0.22177804326534797,0.0
T0,14,VA,2,3,750,750,-0.001976088556326803,-0.45865596080715393,0.0
T0,14,VA,3,4,750,750,0.0005474434929455343,0.23763415810540828,0.0
T0,14,VA,4,5,750,660,-0.0001677076984762334,-0.16673039300144718,0.0
T0,14,expression,0,1,750,750,-0.0005664416089087267,-0.02582444388060718,0.0
T0,14,expression,1,2,750,750,-0.0014118641747027402,-0.12501403552314946,0.0
T0,14,expression,2,3,750,750,-0.002687882958130358,-0.338478804448963,0.0
T0,14,expression,3,4,750,750,0.0010024588754771692,0.22030305114322668,0.0
T0,14,expression,4,5,750,660,0.0009940448594865708,0.07038011342386603,0.0
G0-local,14,AU,0,1,750,750,0.0008245982255923155,-0.022317881861935118,0.0
G0-local,14,AU,1,2,750,750,-0.0013641826666624486,-0.15079908424168434,0.0
G0-local,14,AU,2,3,750,750,-0.0034399807564877713,-0.26342522950523417,0.0
G0-local,14,AU,3,4,750,750,-0.00016741201170047783,-0.10313233746163838,0.0
G0-local,14,AU,4,5,750,660,-9.143715106300764e-05,-0.015807471023778184,0.0
G0-local,14,VA,0,1,750,750,-6.0803147185230536e-05,-0.09167020553361162,0.0
G0-local,14,VA,1,2,750,750,-9.728183215442219e-05,-0.15751483576208192,0.0
G0-local,14,VA,2,3,750,750,-0.0007192917659351258,-0.562059230602024,0.0
G0-local,14,VA,3,4,750,750,0.0003166162618254202,0.38160242498838737,0.0
G0-local,14,VA,4,5,750,660,-9.549471911530717e-05,-0.1890793994565869,0.0
G0-local,14,expression,0,1,750,750,-0.0007963646489974796,0.10577791059171907,0.0
G0-local,14,expression,1,2,750,750,-0.0009208868804658104,-0.06893071452906209,0.0
G0-local,14,expression,2,3,750,750,-0.002486205990414302,-0.4117238248654169,0.0
G0-local,14,expression,3,4,750,750,0.0005434612362449027,0.16854032166249905,0.0
G0-local,14,expression,4,5,750,660,-0.0013256859168895164,-0.03450546305015313,0.0
G1-shared,14,AU,0,1,750,750,0.011691778990815062,0.7096810021440138,0.0
G1-shared,14,AU,1,2,750,750,0.015617870530338529,0.8085231269319223,0.0
G1-shared,14,AU,2,3,750,750,0.01399830570230883,0.8761738249688859,0.0
G1-shared,14,AU,3,4,750,750,0.01203672739457436,0.8326560404016324,0.0
G1-shared,14,AU,4,5,750,660,0.01387209970298755,0.8956516112794467,0.0
G1-shared,14,VA,0,1,750,750,0.007833598835308585,0.9546946114953547,0.0
G1-shared,14,VA,1,2,750,750,0.008580233021883887,0.9602934886532357,0.0
G1-shared,14,VA,2,3,750,750,0.007651356092984018,0.95547786404288,0.0
G1-shared,14,VA,3,4,750,750,0.006840419871017414,0.9892436711772894,0.0
G1-shared,14,VA,4,5,750,660,0.006468374073293103,0.9834062110717527,0.0
