arm,step,input_index,group,candidate_mse_offdiag,centered_candidate_mse_offdiag,temporal_variance,speed_abs,near_duplicate_pairs_mse_lt_1e_8,minimum,maximum
MAM,archive,28,expression,0.09199885835625922,0.026784106591986188,0.019147821972750882,0.019975216933539812,0,4.24076844751653e-08,0.9999159574508667
MAM,archive,29,AU,0.17941487706193587,0.09994618762537695,0.08829249594574672,0.019326315789473685,0,0.0,1.0
MAM,archive,29,VA,0.1349041299494681,0.00365464132217606,0.020417851863321842,0.031504360253138367,0,-0.756554126739502,0.7024697661399841
MAM,archive,29,expression,0.12825747231567824,0.025709879787705826,0.017555343324096605,0.014793519448540184,0,2.4495119532730314e-07,0.9992501139640808
MAM,archive,30,AU,0.16094276094276094,0.08269474077509792,0.05807867464244419,0.023287300297860816,0,0.0,1.0
MAM,archive,30,VA,0.14293215235219447,0.003972543367560642,0.010820391556576717,0.032225011094802594,0,-0.6488231420516968,0.6416951417922974
MAM,archive,30,expression,0.14488258683480953,0.014062244673898121,0.009605178353442762,0.014375325829947123,0,2.74061903837719e-07,0.9998266100883484
MAM,archive,31,AU,0.1884836100468284,0.09496714180159813,0.08130253208646923,0.024012274645186037,0,0.0,1.0
MAM,archive,31,VA,0.13974897495089894,0.004529181582775319,0.01153588163123454,0.026326574439023327,0,-0.6297391057014465,0.6838122606277466
MAM,archive,31,expression,0.10935277768470832,0.021788130984777235,0.014731451821653418,0.01737008910908019,0,4.901581291960611e-07,0.99969482421875
MAM,archive,32,AU,0.1535350915117452,0.07141429230711431,0.07124746222090733,0.02198830409356725,0,0.0,1.0
MAM,archive,32,VA,0.11594603300604225,0.004446919812509071,0.010008226745566857,0.02809856136912797,0,-0.5536689758300781,0.8107823133468628
MAM,archive,32,expression,0.09611124633838715,0.024345405941955642,0.024126540823429,0.019913429907758746,0,1.838897212280699e-08,0.999971866607666
MAM,archive,33,AU,0.1774121679520137,0.11364701039022518,0.11263279710951503,0.043487972508591065,0,0.0,1.0
MAM,archive,33,VA,0.12990545756412572,0.005778327976044259,0.03216586465737206,0.04555986204292456,0,-0.6017951965332031,0.8829174637794495
MAM,archive,33,expression,0.08408729560698719,0.031750360839135044,0.02656129490138953,0.019868407223497347,0,2.481010241695003e-08,0.999920129776001
MAM,archive,34,AU,0.14886906371091285,0.08897095905473917,0.10805712670676146,0.01935064935064935,0,0.0,1.0
MAM,archive,34,VA,0.125533388288602,0.007481976096590661,0.03379309057234503,0.028424859657615664,0,-0.6819576025009155,0.8570718765258789
MAM,archive,34,expression,0.0937230378220977,0.028944971497261936,0.028117657139661224,0.015069682256832514,0,1.3828734779508522e-07,0.9999618530273438
MAM,archive,35,AU,0.16961350319840887,0.08787812443753511,0.0891198906402945,0.020988372093023257,0,0.0,1.0
MAM,archive,35,VA,0.13778712741290328,0.005954322255028898,0.011172344768187542,0.026984196283034223,0,-0.6117521524429321,0.7390783429145813
MAM,archive,35,expression,0.10129584528647483,0.019722416865409813,0.016139882468459,0.019069579724056356,0,2.378069297037655e-07,0.9998587369918823
MAM,archive,36,AU,0.12973136992414103,0.0849823368440294,0.10671641153987922,0.030402576489533012,0,0.0,1.0
MAM,archive,36,VA,0.12463362278299771,0.00796411623252671,0.04058905857940618,0.042448177714359714,0,-0.6547074913978577,0.8272740840911865
MAM,archive,36,expression,0.0901682148974936,0.03253491952229807,0.02907342485158415,0.020791001551428556,0,5.228977073556962e-08,0.9998979568481445
MAM,archive,37,AU,0.1358172839506173,0.078955670781893,0.10038601372658151,0.020445186421814136,0,0.0,1.0
MAM,archive,37,VA,0.11832989817173506,0.009793688304078734,0.03004158440720788,0.03375114485051425,0,-0.730064332485199,0.8584200143814087
MAM,archive,37,expression,0.0850531335172208,0.02946965211875815,0.027638021108982547,0.018919288525000286,0,2.8271500696064322e-08,0.9999779462814331
MAM,archive,38,AU,0.1570179387490621,0.09256384969431308,0.10354782663848743,0.02072570725707257,0,0.0,1.0
