model,source,target_side_mean,candidate_best_mean
T1,67,0.025967158466519702,0.0452621737602449
T1,68,0.024482342414132944,0.03323701444051051
T1,69,0.028140891469919944,0.033837515807808936
T1,70,0.02649434962879167,0.031775921410306246
T1,71,0.023841270763102877,0.029092217086384774
T1,72,0.047550708934498045,0.060318953135133926
T1,73,0.029956550866241126,0.03601573656021426
T1,74,0.03422873159576282,0.03442160424088132
T1,75,0.03443080927745266,0.03326313888185548
T1,76,0.055710622969542524,0.07161380035255564
T1,77,0.06334243798806535,0.07494802384226004
T1,78,0.04177067797175683,0.05695649922142558
T1,79,0.07146518617981612,0.08480901843639344
